id_aerogenerateur;nom_eolienne;id_parc;code_insee;nom_commune;code_dept;code_reg;puissance;hauteur_totale;hauteur_mat_nacelle;diametre_rotor;cote_ngf;periode_allumage;type_feu;constructeur;reference_modele;x_aerogenerateur;y_aerogenerateur;epsg;libelle;date_maj
0005107442_E1;;0005107442;62733;SAILLY-AU-BOIS;62;32;2.35;125.00;84.00;82.00;136.000;Jour et Nuit;Feux à éclats;ENERCON;E-82;672048.0;7001763.0;2154;Lambert-93;2024-10-23
0005107442_E2;;0005107442;80203;COLINCAMPS;80;32;2.35;125.00;84.00;82.00;139.000;Jour et Nuit;Feux à éclats;ENERCON;E-82;672429.0;7001338.0;2154;Lambert-93;2024-10-23
0005107442_E3;;0005107442;80203;COLINCAMPS;80;32;2.35;125.00;84.00;82.00;142.000;Jour et Nuit;Feux à éclats;ENERCON;E-82;673227.0;7001114.0;2154;Lambert-93;2024-10-23
0010011876_E1;81596_E1;0010011876;18237;STE THORETTE;18;24;2.50;150.00;100.00;100.00;129.000;Jour et Nuit;Feux à éclats;NORDEX;N100/2500;640729.56;6666941.5;2154;Lambert-93;2024-10-23
0010011876_E2;81597_E2;0010011876;18237;STE THORETTE;18;24;2.50;150.00;100.00;100.00;129.000;Jour et Nuit;Feux à éclats;NORDEX;N100/2500;640923.44;6666701.0;2154;Lambert-93;2024-10-23
0010011876_E4;81599_E4;0010011876;18237;STE THORETTE;18;24;2.50;150.00;100.00;100.00;122.000;Jour et Nuit;Feux à éclats;NORDEX;N100/2500;641596.44;6665899.0;2154;Lambert-93;2024-10-23
0010011876_E3;81598_E3;0010011876;18237;STE THORETTE;18;24;2.50;150.00;100.00;100.00;126.000;Jour et Nuit;Feux à éclats;NORDEX;N100/2500;641316.4;6666223.5;2154;Lambert-93;2024-10-23
0005517930_E1;;0005517930;22158;GUERLEDAN;22;53;2.30;99.50;66.50;71.00;182.500;Jour et Nuit;Feux à éclats;ENERCON;E-70 E4;261350.0;6804958.0;2154;Lambert-93;2024-10-23
0100017119_E1;E1;0100017119;85061;CHATEAU-GUIBERT;85;52;4.20;180.00;116.00;136.00;50.000;Jour et Nuit;Feux à éclats;VESTAS;V136-4.2MW;376891.0;6618059.0;2154;Lambert-93;2024-10-23
0100017119_E2;E2;0100017119;85061;CHATEAU-GUIBERT;85;52;4.20;180.00;116.00;136.00;52.000;Jour et Nuit;Feux à éclats;VESTAS;V136-4.2MW;377260.0;6618215.0;2154;Lambert-93;2024-10-23
0005403241_E1;;0005403241;21377;MARCELLOIS;21;27;1.80;130.00;80.00;100.00;545.000;Jour et Nuit;Feux à éclats;VESTAS;V100-1.8MW;821673.8;6696586.0;2154;Lambert-93;2023-07-21
0005403241_E2;;0005403241;21377;MARCELLOIS;21;27;1.80;130.00;80.00;100.00;547.000;Jour et Nuit;Feux à éclats;VESTAS;V100-1.8MW;821795.1;6696183.0;2154;Lambert-93;2023-07-21
0005403241_E3;;0005403241;21377;MARCELLOIS;21;27;1.80;130.00;80.00;100.00;549.000;Jour et Nuit;Feux à éclats;VESTAS;V100-1.8MW;822565.3;6695791.0;2154;Lambert-93;2023-07-21
0005403241_E4;;0005403241;21377;MARCELLOIS;21;27;1.80;130.00;80.00;100.00;538.000;Jour et Nuit;Feux à éclats;VESTAS;V100-1.8MW;822681.94;6695395.5;2154;Lambert-93;2023-07-21
0005403241_E5;;0005403241;21377;MARCELLOIS;21;27;1.80;130.00;80.00;100.00;542.000;Jour et Nuit;Feux à éclats;VESTAS;V100-1.8MW;823101.94;6695320.5;2154;Lambert-93;2023-07-21
0005403241_E6;;0005403241;21377;MARCELLOIS;21;27;1.80;130.00;80.00;100.00;539.000;Jour et Nuit;Feux à éclats;VESTAS;V100-1.8MW;823226.8;6694919.5;2154;Lambert-93;2023-07-21
0100017119_E3;E3;0100017119;85175;LES PINEAUX;85;52;4.20;180.00;116.00;136.00;57.000;Jour et Nuit;Feux à éclats;VESTAS;V136-4.2MW;378124.0;6618711.0;2154;Lambert-93;2024-10-23
0003012415_E1;E1;0003012415;08306;MONT-LAURENT;08;44;3.00;165.00;101.00;131.00;150.000;Jour et Nuit;Feux à éclats;NORDEX;N131/3000;806345.0;6929823.0;2154;Lambert-93;2024-10-23
0003012415_E2;E2;0003012415;08306;MONT-LAURENT;08;44;3.00;165.00;101.00;131.00;151.000;Jour et Nuit;Feux à éclats;NORDEX;N131/3000;807030.0;6929888.0;2154;Lambert-93;2024-10-23
0005425808_E3;0005425808_E4;0005425808;89290;PASILLY;89;27;2.00;138.50;90.00;97.00;299.000;Jour et Nuit;Feux fixes;SGRE;G97-2MW;780188.0;6734435.0;2154;Lambert-93;2024-10-25
0005425808_E4;0005425808_E5;0005425808;89290;PASILLY;89;27;2.00;138.50;90.00;97.00;299.000;Jour et Nuit;Feux fixes;SGRE;G97-2MW;780025.75;6734732.0;2154;Lambert-93;2024-10-25
0005425808_E8;0005425808_E10;0005425808;89271;MOULINS EN TONNERROIS;89;27;2.00;138.50;90.00;97.00;299.000;Jour et Nuit;Feux fixes;SGRE;G97-2MW;778932.06;6736044.0;2154;Lambert-93;2024-10-25
0005425808_E9;0005425808_E11;0005425808;89271;MOULINS EN TONNERROIS;89;27;2.00;138.50;90.00;97.00;299.000;Jour et Nuit;Feux fixes;SGRE;G97-2MW;778759.8;6736251.5;2154;Lambert-93;2024-10-25
0005425808_E10;0005425808_E12;0005425808;89271;MOULINS EN TONNERROIS;89;27;2.00;138.50;90.00;97.00;299.000;Jour et Nuit;Feux fixes;SGRE;G97-2MW;778574.4;6736494.5;2154;Lambert-93;2024-10-25
0005425808_E1;0005425808_E2;0005425808;89290;PASILLY;89;27;2.00;138.50;90.00;97.00;299.000;Jour et Nuit;Feux fixes;SGRE;G97-2MW;779784.06;6733688.5;2154;Lambert-93;2024-10-25
0005425808_E7;0005425808_E8;0005425808;89271;MOULINS EN TONNERROIS;89;27;2.00;138.50;90.00;97.00;299.000;Jour et Nuit;Feux fixes;SGRE;G97-2MW;779586.56;6735712.5;2154;Lambert-93;2024-10-25
0100057797_E2;E2;0100057797;21594;SAVOISY;21;27;6.00;249.00;167.00;164.00;267.000;Nuit;Feux à éclats;GE;6.0-164;803409.9;6742250.0;2154;Lambert-93;2024-10-26
0100057797_E6;E6;0100057797;21594;SAVOISY;21;27;6.00;249.00;167.00;164.00;288.000;Nuit;Feux à éclats;GE;6.0-164;802927.4;6741481.0;2154;Lambert-93;2024-10-26
0100057797_E5;E5;0100057797;21594;SAVOISY;21;27;6.00;249.00;167.00;164.00;281.000;Nuit;Feux à éclats;GE;6.0-164;802534.6;6741725.0;2154;Lambert-93;2024-10-26
0100057797_E3;E3;0100057797;21594;SAVOISY;21;27;6.00;249.00;167.00;164.00;268.000;Nuit;Feux à éclats;GE;6.0-164;803835.44;6741864.0;2154;Lambert-93;2024-10-26
0100057797_E4;E4;0100057797;21594;SAVOISY;21;27;6.00;249.00;167.00;164.00;271.000;Nuit;Feux à éclats;GE;6.0-164;804149.94;6741342.5;2154;Lambert-93;2024-10-26
0100057797_E7;E7;0100057797;21594;SAVOISY;21;27;6.00;249.00;167.00;164.00;287.000;Nuit;Feux à éclats;GE;6.0-164;803344.4;6741123.5;2154;Lambert-93;2024-10-26
0100057797_E1;E1;0100057797;21279;FONTAINES-LES-SECHES;21;27;6.00;249.00;167.00;164.00;280.000;Nuit;Feux à éclats;GE;6.0-164;802701.2;6742387.5;2154;Lambert-93;2024-10-26
0005704352_E5;0005704352_E5;0005704352;08465;VAUX-LES-RUBIGNY;08;44;2.20;372.44;110.00;110.00;207.440;Aucune;Feux à éclats;VESTAS;V110-2.2MW;784489.9;6955320.5;2154;Lambert-93;2024-10-29
0005704352_E6;0005704352_E6;0005704352;08465;VAUX-LES-RUBIGNY;08;44;2.20;368.66;110.00;110.00;203.660;Aucune;Feux à éclats;VESTAS;V110-2.2MW;784415.0;6954868.5;2154;Lambert-93;2024-10-29
0005704352_E1;0005704352_E1;0005704352;08366;ROCQUIGNY;08;44;2.20;387.00;110.00;110.00;222.000;Aucune;Feux à éclats;VESTAS;V110-2.2MW;786248.8;6956606.0;2154;Lambert-93;2024-10-29
0005704352_E3;0005704352_E3;0005704352;08366;ROCQUIGNY;08;44;2.20;396.87;110.00;110.00;231.870;Aucune;Feux à éclats;VESTAS;V100-2.2MW;786679.75;6956905.5;2154;Lambert-93;2024-10-29
0005704352_E2;0005704352_E2;0005704352;08366;ROCQUIGNY;08;44;2.20;387.33;110.00;110.00;222.330;Aucune;Feux à éclats;VESTAS;V110-2.2MW;786319.4;6957131.0;2154;Lambert-93;2024-10-29
0005704352_E4;0005704352_E4;0005704352;08465;VAUX-LES-RUBIGNY;08;44;2.20;366.19;110.00;110.00;201.190;Aucune;Feux à éclats;VESTAS;V110-2.2MW;784162.56;6955411.5;2154;Lambert-93;2024-10-29
0100055741_E1;EC01;0100055741;80504;MALPART;80;32;4.50;180.00;109.00;150.00;113.000;Jour et Nuit;Feux à éclats;VESTAS;V150 - 4.5MW;663051.0;6954301.0;2154;Lambert-93;2024-10-30
0100055741_E3;EC03;0100055741;80504;MALPART;80;32;4.50;180.00;109.00;150.00;108.000;Jour et Nuit;Feux à éclats;VESTAS;V150 - 4.5MW;663941.0;6954186.0;2154;Lambert-93;2024-10-30
0100004618_E2;E12-S2304209;0100004618;80655;QUESNOY SUR AIRAINES;80;32;2.30;150.00;100.00;101.00;76.000;Jour et Nuit;Feux à éclats;SGRE;SWT2.3-101;627226.0;6982562.0;2154;Lambert-93;2024-10-23
0100004618_E2;E12-S2304209;0100004618;80655;QUESNOY SUR AIRAINES;80;32;2.30;150.00;100.00;101.00;76.000;Jour et Nuit;Feux à éclats;SGRE;SWT2.3-101;627226.0;6982562.0;2154;Lambert-93;2024-10-23
0100004618_E3;E13-S2304210;0100004618;80655;QUESNOY SUR AIRAINES;80;32;2.30;150.00;100.00;101.00;75.000;Jour et Nuit;Feux à éclats;SGRE;SWT2.3-101;627564.0;6982699.0;2154;Lambert-93;2024-10-23
0100004618_E3;E13-S2304210;0100004618;80655;QUESNOY SUR AIRAINES;80;32;2.30;150.00;100.00;101.00;75.000;Jour et Nuit;Feux à éclats;SGRE;SWT2.3-101;627564.0;6982699.0;2154;Lambert-93;2024-10-23
0100004618_E4;E14-S2304211;0100004618;80655;QUESNOY SUR AIRAINES;80;32;2.30;150.00;100.00;101.00;77.000;Jour et Nuit;Feux à éclats;SGRE;SWT2.3-101;627875.0;6982850.0;2154;Lambert-93;2024-10-23
0100004618_E4;E14-S2304211;0100004618;80655;QUESNOY SUR AIRAINES;80;32;2.30;150.00;100.00;101.00;77.000;Jour et Nuit;Feux à éclats;SGRE;SWT2.3-101;627875.0;6982850.0;2154;Lambert-93;2024-10-23
