id_parc;nom_usuel;puissance_parc;code_insee;nom_commune;code_dept;code_reg;date_depot_demande_autorisation;date_delivrance_avis_autorite_environnementale;date_delivrance_autorisation;date_debut_construction;date_mise_en_service;date_debut_demantelement;etat_parc;statut_admin;statut_parc;date_arrete_prefectoral_complementaire_renouvellement;renouvellement;nom_exploitant;siret;date_maj
0000000019;EOLE BEAUNE LA ROLANDE;18.0;45030;BEAUNE-LA-ROLANDE;45;24;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0000000034;EOLIEN - TOTAL QUADRAN CE La Luçoise;28.8;48086;LUC;48;76;;;;;;;;Autorisation;En instruction;;Aucun;CENTRALE EOLIENNE LA LUCOISE;;2023-07-21
0000000035;PROJET EOLIEN DE COURCHATON - SEPE PEROUSE;18.75;70180;COURCHATON;70;27;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0000000044;FERME EOLIENNE DE LA CERISAIE;16.8;79061;CELLES-SUR-BELLE;79;75;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0000000044;FERME EOLIENNE DE LA CERISAIE;16.8;79204;PERIGNE;79;75;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0000000044;FERME EOLIENNE DE LA CERISAIE;16.8;79295;SAINT-ROMANS-LES-MELLE;79;75;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003012006;Mont Heudelan 2;13.8;51487;ST HILAIRE LE PETIT;51;44;;;;2020-01-06;2020-08-24;;En exploitation;Autorisation;Autorisé;;Aucun;Futures Energies du Mont Heudelan 2;80793671100033;
0003012007;Ferme eolienne de la Hotte;24.0;08178;FRAILLICOURT;08;44;2017-01-10;2021-02-09;2021-02-10;2019-04-01;2020-04-20;;En exploitation;Autorisation;Autorisé;;Substanciel;FERME EOLIENNE LA HOTTE;80366621300019;
0003012007;Ferme eolienne de la Hotte;24.0;08366;ROCQUIGNY;08;44;2017-01-10;2021-02-09;2021-02-10;2019-04-01;2020-04-20;;En exploitation;Autorisation;Autorisé;;Substanciel;FERME EOLIENNE LA HOTTE;80366621300019;
0003012007;Ferme eolienne de la Hotte;24.0;08372;RUBIGNY;08;44;2017-01-10;2021-02-09;2021-02-10;2019-04-01;2020-04-20;;En exploitation;Autorisation;Autorisé;;Substanciel;FERME EOLIENNE LA HOTTE;80366621300019;
0003012007;Ferme eolienne de la Hotte;24.0;08465;VAUX-LES-RUBIGNY;08;44;2017-01-10;2021-02-09;2021-02-10;2019-04-01;2020-04-20;;En exploitation;Autorisation;Autorisé;;Substanciel;FERME EOLIENNE LA HOTTE;80366621300019;
0003012037;PE de les Bouchats;19.8;51279;GRANGES SUR AUBE;51;44;;;;2021-08-10;2022-05-20;;En exploitation;Autorisation;Autorisé;;Aucun;PE de les Bouchats;80330610900049;
0003012037;PE de les Bouchats;19.8;51353;MARSANGIS;51;44;;;;2021-08-10;2022-05-20;;En exploitation;Autorisation;Autorisé;;Aucun;PE de les Bouchats;80330610900049;
0003012037;PE de les Bouchats;19.8;51516;ST SATURNIN;51;44;;;;2021-08-10;2022-05-20;;En exploitation;Autorisation;Autorisé;;Aucun;PE de les Bouchats;80330610900049;
0003012037;PE de les Bouchats;19.8;51565;THAAS;51;44;;;;2021-08-10;2022-05-20;;En exploitation;Autorisation;Autorisé;;Aucun;PE de les Bouchats;80330610900049;
0003012057;EOLIENNES DE BONNE VOISINE;12.0;10075;CHAMPFLEURY;10;44;;;;2021-02-01;2021-10-01;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003012058;LES ORMELOTS - Champfleury;6.0;10075;CHAMPFLEURY;10;44;;;;2021-02-01;2021-10-01;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003012061;Parc éolien de la Côte du Cerisat;49.5;51167;COOLE;51;44;;;;;2021-01-06;;En exploitation;Autorisation;Autorisé;;Aucun;EDPR FRANCE HOLDING;;2023-07-21
0003012061;Parc éolien de la Côte du Cerisat;49.5;51446;PRINGY;51;44;;;;;2021-01-06;;En exploitation;Autorisation;Autorisé;;Aucun;EDPR FRANCE HOLDING;;2023-07-21
0003012119;PARC EOLIEN MONT DE GERSON 2;12.0;08048;BARBY;08;44;;;;2019-03-01;2020-10-23;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003012119;PARC EOLIEN MONT DE GERSON 2;12.0;08427;SORBON;08;44;;;;2019-03-01;2020-10-23;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003012132;EOLE DE LA GRANDE COMBE;17.6;52003;AILLIANVILLE;52;44;;;;2019-02-25;2020-02-01;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003012158;Ferme eolienne Machault;16.95;08264;MACHAULT;08;44;;;;2019-03-25;2019-12-19;;En exploitation;Autorisation;Autorisé;;Aucun;PARC EOLIEN DE MACHAULT;80517329100016;
